"fraud.prob","status"
0.850222966953385," good"
0.903299729241732," good"
0.724344885500353," good"
0.846196627906591," good"
0.783553653261718," good"
0.875714224430843," good"
0.83310724680691," good"
0.9481628069108," good"
0.734959580206456," good"
0.948979521753932," good"
0.808505938377313," good"
0.791922844633344," good"
0.789528777075617," good"
0.86724342064385," good"
0.884587409202801," good"
0.908263410988257," good"
0.908858765766085," good"
0.849132523021942," good"
0.791746989495942," good"
0.863126626157626," good"
0.748200914117724," good"
0.812032354584256," good"
0.824215680330281," good"
0.776796587121933," good"
0.755762288417554," good"
0.87120803220736," good"
0.854255487304517," good"
0.888536758865901," good"
0.780046829135442," good"
0.726379444849569," good"
0.734427566619707," good"
0.757943563835018," good"
0.927799814743394," good"
0.75204736506937," good"
0.772094949264804," good"
0.789394340816516," good"
0.821250104180666," good"
0.853974997189459," good"
0.777768693866485," good"
0.76587668545982," good"
0.812155163029985," good"
0.961084538572055," good"
0.785259153071212," good"
0.723832444732422," good"
0.935921132544247," good"
0.947741372126396," good"
0.77038880600399," good"
0.823824059097116," good"
0.958497537133062," good"
0.727788240299466," good"
0.770648105222164," good"
0.807098752743813," good"
0.855486225063998," good"
0.795407160793505," good"
0.955193219882759," good"
0.878407058630385," good"
0.893095405998419," good"
0.855851166482407," good"
0.999870372599004," good"
0.842080345466163," good"
0.954816201100743," good"
0.702403626843128," good"
0.748083211448686," good"
0.806174500542459," good"
0.81777352630627," good"
0.819353225569287," good"
0.947248607305197," good"
0.79787350419211," good"
0.756086010440229," good"
0.923293670272426," good"
0.843355501806485," good"
0.886649378682733," good"
0.770477927041982," good"
0.781243400378091," good"
0.829806537005907," good"
0.90499577125974," good"
0.813162241496147," good"
0.77928589070545," good"
0.890449159658194," good"
0.826064489791623," good"
0.780826192378607," good"
0.761369965613165," good"
0.823490493118895," good"
0.854693713014048," good"
0.912597950034675," good"
0.782590000141278," good"
0.854737261387251," good"
0.873687317853405," good"
0.985939296057223," good"
0.763544312389222," good"
